expense_id,project_id,sap_cost_center,booking_date,expense_type,amount,sap_cost_code,gl_account,vendor,status,comment,source_system,tax_code,gst_amount,po_reference,po_value,contract_ref,po_status
1,1,CC-MEL-01,2026-02-26,Subcontractor,390900.27,SAP-5001,GL-6100,Hickory Group,Paid,,Trade Account,G11,39090.03,PO-2026-1020,393812.21,CTR-CC-MEL-01-01,Matched
2,1,CC-MEL-01,2026-08-07,Subcontractor,875771.8,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,87577.18,,0.0,,No PO
3,1,CC-MEL-01,2026-02-21,Subcontractor,1033214.82,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,103321.48,PO-2026-1046,1044438.23,CTR-CC-MEL-01-01,Matched
4,1,CC-MEL-01,2026-07-09,Subcontractor,1331364.7,SAP-5001,GL-6100,Hickory Group,Pending,,Trade Account,G11,133136.47,PO-2026-1059,1427684.93,CTR-CC-MEL-01-01,Matched
5,1,CC-MEL-01,2026-07-13,Subcontractor,742822.62,SAP-5001,GL-6100,Kapitol Group,Approved,,Trade Account,G11,74282.26,PO-2026-1072,756082.47,CTR-CC-MEL-01-01,Matched
6,1,CC-MEL-01,2026-10-17,Materials,648008.36,SAP-5002,GL-6200,Hanson Construction Materials,Approved,,Site System,G11,64800.84,,0.0,,No PO
7,1,CC-MEL-01,2026-06-15,Subcontractor,1301530.28,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,130153.03,PO-2026-1098,1348018.21,CTR-CC-MEL-01-01,Matched
8,1,CC-MEL-01,2026-07-09,Materials,682594.43,SAP-5002,GL-6200,Saint-Gobain Placo,Approved,,Trade Account,G11,68259.44,,0.0,,No PO
9,1,CC-MEL-01,2026-11-06,Materials,450754.75,SAP-5002,GL-6200,James Hardie Building Products,On Hold,,Manual Entry,G11,45075.48,PO-2026-1124,452048.53,CTR-CC-MEL-01-01,Matched
10,1,CC-MEL-01,2026-08-25,Subcontractor,213021.82,SAP-5001,GL-6100,Hacer Group,Approved,,Trade Account,G11,21302.18,PO-2026-1137,253600.46,CTR-CC-MEL-01-01,Matched
11,1,CC-MEL-01,2026-03-28,Subcontractor,458451.51,SAP-5001,GL-6100,Built Environs,Pending,,Trade Account,G11,45845.15,,0.0,,No PO
12,1,CC-MEL-01,2026-10-22,Permits & Compliance,11508.7,SAP-5005,GL-6500,DELWP Victoria,On Hold,Mismatch between SAP cost code and VO reference,Manual Entry,G12,0.0,PO-2026-1163,13041.39,,Matched
13,1,CC-MEL-01,2026-04-23,Subcontractor,1112705.76,SAP-5001,GL-6100,Built Environs,Paid,,Trade Account,G11,111270.58,PO-2026-1176,1223696.02,CTR-CC-MEL-01-01,Matched
14,1,CC-MEL-01,2026-06-27,Permits & Compliance,13472.43,SAP-5005,GL-6500,EPA Victoria,Approved,,Site System,G12,0.0,,0.0,,No PO
15,1,CC-MEL-01,2026-05-06,Subcontractor,685526.83,SAP-5001,GL-6100,John Holland Group,Approved,,Trade Account,G11,68552.68,PO-2026-1202,836751.15,CTR-CC-MEL-01-01,Matched
16,1,CC-MEL-01,2026-07-05,Professional Services,200360.74,SAP-5004,GL-6400,Jacobs Engineering Group,Pending,,Concur Export,G11,20036.07,PO-2026-1215,249657.76,CTR-CC-MEL-01-01,Matched
17,1,CC-MEL-01,2026-04-08,Subcontractor,533957.77,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,53395.78,PO-2026-1228,648938.78,CTR-CC-MEL-01-01,Matched
18,1,CC-MEL-01,2026-03-31,Professional Services,320960.79,SAP-5004,GL-6400,GHD Advisory,Pending,,Concur Export,G11,32096.08,PO-2026-1241,334171.31,CTR-CC-MEL-01-01,Matched
19,1,CC-MEL-01,2026-10-16,Permits & Compliance,39064.69,SAP-5005,GL-6500,EPA Victoria,Paid,,Site System,G12,0.0,PO-2026-1254,39635.85,,Matched
20,1,CC-MEL-01,2026-10-03,Subcontractor,347030.76,SAP-5001,GL-6100,John Holland Group,Approved,,Trade Account,G11,34703.08,PO-2026-1267,309918.13,CTR-CC-MEL-01-01,Over PO
21,1,CC-MEL-01,2026-11-18,Subcontractor,1079387.83,SAP-5001,GL-6100,Cockram Constructions,Approved,,Trade Account,G11,107938.78,PO-2026-1280,1149754.66,CTR-CC-MEL-01-01,Matched
22,1,CC-MEL-01,2026-06-15,Subcontractor,908069.95,SAP-5001,GL-6100,Probuild Constructions,Paid,,Trade Account,G11,90806.99,PO-2026-1293,1035879.35,CTR-CC-MEL-01-01,Matched
23,1,CC-MEL-01,2026-07-13,Subcontractor,1666575.63,SAP-5001,GL-6100,Hacer Group,Approved,,Trade Account,G11,166657.56,PO-2026-1306,2076492.12,CTR-CC-MEL-01-01,Matched
24,1,CC-MEL-01,2026-03-14,Professional Services,59422.43,SAP-5004,GL-6400,Stantec Consulting,Approved,,Concur Export,G11,5942.24,PO-2026-1319,49363.17,CTR-CC-MEL-01-01,Over PO
25,1,CC-MEL-01,2026-01-31,Plant Hire,121452.35,SAP-5003,GL-6300,Tutt Bryant Equipment,Approved,,Trade Account,G11,12145.24,,0.0,,No PO
26,1,CC-MEL-01,2026-01-09,Subcontractor,1014043.58,SAP-5001,GL-6100,Kapitol Group,Approved,,Trade Account,G11,101404.36,PO-2026-1345,797895.47,CTR-CC-MEL-01-01,Over PO
27,1,CC-MEL-01,2026-01-25,Materials,652259.38,SAP-5002,GL-6200,Boral Construction Materials,Paid,,Trade Account,G11,65225.94,PO-2026-1358,590176.42,CTR-CC-MEL-01-01,Over PO
28,1,CC-MEL-01,2026-04-05,Subcontractor,614325.24,SAP-5001,GL-6100,Kane Constructions,Paid,Retention clause applies — partial payment released,Trade Account,G11,61432.52,PO-2026-1371,677556.69,CTR-CC-MEL-01-01,Matched
29,1,CC-MEL-01,2026-09-02,Subcontractor,556981.77,SAP-5001,GL-6100,Watpac Civil & Mining,Approved,,Trade Account,G11,55698.18,PO-2026-1384,667730.01,CTR-CC-MEL-01-01,Matched
30,1,CC-MEL-01,2026-05-27,Subcontractor,352842.01,SAP-5001,GL-6100,Hacer Group,Approved,,Trade Account,G11,35284.2,PO-2026-1397,382052.91,CTR-CC-MEL-01-01,Matched
31,1,CC-MEL-01,2026-06-30,Materials,466852.69,SAP-5002,GL-6200,Hanson Construction Materials,Paid,,Trade Account,G11,46685.27,PO-2026-1410,511810.07,CTR-CC-MEL-01-01,Matched
32,1,CC-MEL-01,2026-12-14,Subcontractor,1642476.06,SAP-5001,GL-6100,Built Environs,Approved,,Manual Entry,G11,164247.61,PO-2026-1423,1898355.52,CTR-CC-MEL-01-01,Matched
33,1,CC-MEL-01,2026-07-30,Permits & Compliance,6639.24,SAP-5005,GL-6500,WorkSafe Victoria,Paid,,Site System,G12,0.0,PO-2026-1436,7268.55,,Matched
34,1,CC-MEL-01,2026-05-31,Materials,206262.62,SAP-5002,GL-6200,James Hardie Building Products,Approved,,Trade Account,G11,20626.26,PO-2026-1449,229043.61,CTR-CC-MEL-01-01,Matched
35,1,CC-MEL-01,2026-11-18,Subcontractor,315342.24,SAP-5001,GL-6100,Watpac Civil & Mining,Approved,,Trade Account,G11,31534.22,PO-2026-1462,333051.91,CTR-CC-MEL-01-01,Matched
36,1,CC-MEL-01,2026-10-26,Materials,881080.45,SAP-5002,GL-6200,Holcim Australia Pty Ltd,Approved,,Trade Account,G11,88108.04,PO-2026-1475,1025590.42,CTR-CC-MEL-01-01,Matched
37,1,CC-MEL-01,2026-09-27,Professional Services,63939.28,SAP-5004,GL-6400,Arup Pty Ltd,Pending,,Concur Export,G11,6393.93,PO-2026-1488,51407.25,CTR-CC-MEL-01-01,Over PO
38,1,CC-MEL-01,2026-09-20,Materials,815276.05,SAP-5002,GL-6200,Rebar Direct Pty Ltd,Pending,,Trade Account,G11,81527.61,PO-2026-1501,748292.31,CTR-CC-MEL-01-01,Over PO
39,1,CC-MEL-01,2026-11-21,Professional Services,210625.82,SAP-5004,GL-6400,Stantec Consulting,Approved,,Concur Export,G11,21062.58,PO-2026-1514,228310.36,CTR-CC-MEL-01-01,Matched
40,1,CC-MEL-01,2026-06-23,Plant Hire,149856.14,SAP-5003,GL-6300,All Cranes Hire & Sales,Pending,,Trade Account,G11,14985.61,PO-2026-1527,183755.04,,Matched
41,1,CC-MEL-01,2026-06-06,Professional Services,127243.13,SAP-5004,GL-6400,Arup Pty Ltd,Paid,,Manual Entry,G11,12724.31,PO-2026-1540,151022.19,CTR-CC-MEL-01-01,Matched
42,1,CC-MEL-01,2026-06-26,Materials,334092.69,SAP-5002,GL-6200,Hanson Construction Materials,Paid,,Trade Account,G11,33409.27,PO-2026-1553,410895.72,CTR-CC-MEL-01-01,Matched
43,1,CC-MEL-01,2026-08-29,Materials,517821.38,SAP-5002,GL-6200,Boral Construction Materials,Approved,,Trade Account,G11,51782.14,PO-2026-1566,561512.63,CTR-CC-MEL-01-01,Matched
44,1,CC-MEL-01,2026-01-31,Subcontractor,1329720.46,SAP-5001,GL-6100,Watpac Civil & Mining,On Hold,,Trade Account,G11,132972.05,PO-2026-1579,1546383.33,CTR-CC-MEL-01-01,Matched
45,1,CC-MEL-01,2026-03-04,Professional Services,127915.35,SAP-5004,GL-6400,WSP Australia,Pending,,Concur Export,G11,12791.54,PO-2026-1592,133281.05,CTR-CC-MEL-01-01,Matched
46,1,CC-MEL-01,2026-01-18,Subcontractor,268281.12,SAP-5001,GL-6100,Probuild Constructions,Paid,,Trade Account,G11,26828.11,PO-2026-1605,331425.82,CTR-CC-MEL-01-01,Matched
47,1,CC-MEL-01,2026-03-07,Subcontractor,839144.53,SAP-5001,GL-6100,Hickory Group,Paid,,Trade Account,G11,83914.45,PO-2026-1618,977922.53,CTR-CC-MEL-01-01,Matched
48,1,CC-MEL-01,2026-07-09,Subcontractor,719268.65,SAP-5001,GL-6100,Buxton Construction,Paid,,Trade Account,G11,71926.87,PO-2026-1631,851217.64,CTR-CC-MEL-01-01,Matched
49,1,CC-MEL-01,2026-05-22,Plant Hire,244964.88,SAP-5003,GL-6300,Sherrin Rentals,Approved,,Site System,G11,24496.49,PO-2026-1644,272572.54,,Matched
50,1,CC-MEL-01,2026-09-11,Subcontractor,555710.26,SAP-5001,GL-6100,John Holland Group,Approved,,Trade Account,G11,55571.03,PO-2026-1657,653124.01,CTR-CC-MEL-01-01,Matched
51,1,CC-MEL-01,2026-10-16,Permits & Compliance,23467.39,SAP-5005,GL-6500,Vic Department of Transport,Paid,,Site System,G12,0.0,PO-2026-1670,28119.41,,Matched
52,1,CC-MEL-01,2026-10-15,Plant Hire,161087.7,SAP-5003,GL-6300,Tutt Bryant Equipment,Pending,,Site System,G11,16108.77,PO-2026-1683,189393.02,,Matched
53,1,CC-MEL-01,2026-04-09,Subcontractor,1255858.95,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,125585.9,PO-2026-1696,1494537.42,CTR-CC-MEL-01-01,Matched
54,1,CC-MEL-01,2026-01-12,Professional Services,71797.06,SAP-5004,GL-6400,Stantec Consulting,Paid,Possible cost allocation mismatch — verify WBS element,Manual Entry,G11,7179.71,PO-2026-1709,84315.19,CTR-CC-MEL-01-01,Matched
55,1,CC-MEL-01,2026-08-18,Materials,199802.05,SAP-5002,GL-6200,Boral Construction Materials,Approved,,Trade Account,G11,19980.21,PO-2026-1722,205500.76,CTR-CC-MEL-01-01,Matched
56,1,CC-MEL-01,2026-06-09,Materials,299212.12,SAP-5002,GL-6200,Boral Construction Materials,Approved,,Trade Account,G11,29921.21,PO-2026-1735,343804.21,CTR-CC-MEL-01-01,Matched
57,1,CC-MEL-01,2026-08-12,Subcontractor,1092959.35,SAP-5001,GL-6100,Kapitol Group,Approved,,Trade Account,G11,109295.94,PO-2026-1748,1351878.74,CTR-CC-MEL-01-01,Matched
58,1,CC-MEL-01,2026-03-26,Materials,621066.44,SAP-5002,GL-6200,BlueScope Distribution,Approved,,Trade Account,G11,62106.64,PO-2026-1761,657006.97,CTR-CC-MEL-01-01,Matched
59,1,CC-MEL-01,2026-11-21,Subcontractor,1575488.71,SAP-5001,GL-6100,Kane Constructions,Pending,,Trade Account,G11,157548.87,PO-2026-1774,1296176.3,CTR-CC-MEL-01-01,Over PO
60,1,CC-MEL-01,2026-10-23,Subcontractor,983521.62,SAP-5001,GL-6100,Probuild Constructions,Paid,,Trade Account,G11,98352.16,PO-2026-1787,1082490.58,CTR-CC-MEL-01-01,Matched
61,2,CC-MEL-02,2026-12-30,Materials,313142.17,SAP-5002,GL-6200,Saint-Gobain Placo,Pending,Vendor invoice pending project manager approval,Manual Entry,G11,31314.22,PO-2026-1807,358171.94,CTR-CC-MEL-02-02,Matched
62,2,CC-MEL-02,2026-11-14,Materials,735590.22,SAP-5002,GL-6200,BlueScope Distribution,Approved,,Trade Account,G11,73559.02,PO-2026-1820,752369.48,CTR-CC-MEL-02-02,Matched
63,2,CC-MEL-02,2026-11-25,Plant Hire,226866.05,SAP-5003,GL-6300,Kennards Hire,Paid,,Site System,G11,22686.6,,0.0,,No PO
64,2,CC-MEL-02,2026-02-04,Subcontractor,1593514.73,SAP-5001,GL-6100,Buxton Construction,Paid,,Trade Account,G11,159351.47,PO-2026-1846,1352476.63,CTR-CC-MEL-02-02,Over PO
65,2,CC-MEL-02,2027-06-14,Subcontractor,296458.65,SAP-5001,GL-6100,Built Environs,Approved,,Trade Account,G11,29645.87,PO-2026-1859,308196.79,CTR-CC-MEL-02-02,Matched
66,2,CC-MEL-02,2026-07-10,Travel & Accommodation,1559.94,SAP-5006,GL-6600,Crown Towers Melbourne,Pending,,Concur Export,G11,155.99,PO-2026-1872,1885.47,,Matched
67,2,CC-MEL-02,2026-06-22,Subcontractor,434014.47,SAP-5001,GL-6100,Kane Constructions,Paid,,Trade Account,G11,43401.45,PO-2026-1885,535383.8,CTR-CC-MEL-02-02,Matched
68,2,CC-MEL-02,2027-06-19,Subcontractor,558855.15,SAP-5001,GL-6100,Hickory Group,Paid,,Trade Account,G11,55885.52,PO-2026-1898,665438.98,CTR-CC-MEL-02-02,Matched
69,2,CC-MEL-02,2027-03-30,Professional Services,119243.67,SAP-5004,GL-6400,Jacobs Engineering Group,Approved,,Concur Export,G11,11924.37,PO-2026-1911,130753.03,CTR-CC-MEL-02-02,Matched
70,2,CC-MEL-02,2027-01-08,Materials,830139.98,SAP-5002,GL-6200,Boral Construction Materials,Paid,,Trade Account,G11,83014.0,PO-2026-1924,924968.55,CTR-CC-MEL-02-02,Matched
71,2,CC-MEL-02,2026-04-26,Subcontractor,1214765.38,SAP-5001,GL-6100,Hickory Group,Paid,,Trade Account,G11,121476.54,PO-2026-1937,1310932.63,CTR-CC-MEL-02-02,Matched
72,2,CC-MEL-02,2026-11-24,Professional Services,76559.22,SAP-5004,GL-6400,AECOM Australia Pty Ltd,On Hold,,Concur Export,G11,7655.92,,0.0,,No PO
73,2,CC-MEL-02,2026-04-01,Materials,303305.41,SAP-5002,GL-6200,Hanson Construction Materials,Approved,,Trade Account,G11,30330.54,PO-2026-1963,346217.67,CTR-CC-MEL-02-02,Matched
74,2,CC-MEL-02,2026-09-28,Materials,698105.74,SAP-5002,GL-6200,Adbri Masonry,Pending,,Trade Account,G11,69810.57,,0.0,,No PO
75,2,CC-MEL-02,2026-12-06,Subcontractor,649075.69,SAP-5001,GL-6100,Kapitol Group,Paid,,Trade Account,G11,64907.57,PO-2026-1989,681402.42,CTR-CC-MEL-02-02,Matched
76,2,CC-MEL-02,2026-12-02,Subcontractor,628532.09,SAP-5001,GL-6100,Cockram Constructions,Approved,,Trade Account,G11,62853.21,,0.0,,No PO
77,2,CC-MEL-02,2026-11-23,Permits & Compliance,22452.96,SAP-5005,GL-6500,NSW Planning Department,Paid,,Manual Entry,G12,0.0,PO-2026-2015,23520.22,,Matched
78,2,CC-MEL-02,2027-02-11,Materials,438743.42,SAP-5002,GL-6200,Boral Construction Materials,Paid,High variance to approved payment schedule,Trade Account,G11,43874.34,PO-2026-2028,460767.77,CTR-CC-MEL-02-02,Matched
79,2,CC-MEL-02,2027-06-11,Materials,540778.86,SAP-5002,GL-6200,Hanson Construction Materials,On Hold,,Site System,G11,54077.89,PO-2026-2041,604094.79,CTR-CC-MEL-02-02,Matched
80,2,CC-MEL-02,2026-02-17,Travel & Accommodation,5455.59,SAP-5006,GL-6600,Mantra on Little Bourke,Approved,High variance to approved payment schedule,Concur Export,G11,545.56,PO-2026-2054,6252.87,,Matched
81,2,CC-MEL-02,2027-01-04,Plant Hire,191436.89,SAP-5003,GL-6300,Sherrin Rentals,Paid,,Trade Account,G11,19143.69,PO-2026-2067,234959.48,,Matched
82,2,CC-MEL-02,2026-05-13,Subcontractor,770367.18,SAP-5001,GL-6100,John Holland Group,Approved,,Trade Account,G11,77036.72,PO-2026-2080,953210.13,CTR-CC-MEL-02-02,Matched
83,2,CC-MEL-02,2027-06-19,Materials,838400.42,SAP-5002,GL-6200,BlueScope Distribution,Pending,,Trade Account,G11,83840.04,PO-2026-2093,883940.17,CTR-CC-MEL-02-02,Matched
84,2,CC-MEL-02,2027-02-05,Subcontractor,1611680.46,SAP-5001,GL-6100,Hacer Group,Approved,,Manual Entry,G11,161168.05,PO-2026-2106,1943763.63,CTR-CC-MEL-02-02,Matched
85,2,CC-MEL-02,2026-09-01,Subcontractor,249564.48,SAP-5001,GL-6100,Hacer Group,Approved,,Trade Account,G11,24956.45,PO-2026-2119,303825.75,CTR-CC-MEL-02-02,Matched
86,2,CC-MEL-02,2026-07-31,Subcontractor,569523.64,SAP-5001,GL-6100,Probuild Constructions,Approved,,Trade Account,G11,56952.36,PO-2026-2132,681781.24,CTR-CC-MEL-02-02,Matched
87,2,CC-MEL-02,2026-04-09,Subcontractor,1189850.13,SAP-5001,GL-6100,Probuild Constructions,Pending,,Trade Account,G11,118985.01,PO-2026-2145,1041986.68,CTR-CC-MEL-02-02,Over PO
88,2,CC-MEL-02,2027-03-21,Subcontractor,210683.13,SAP-5001,GL-6100,John Holland Group,Pending,Retention clause applies — partial payment released,Trade Account,G11,21068.31,,0.0,,No PO
89,2,CC-MEL-02,2027-01-01,Subcontractor,929158.32,SAP-5001,GL-6100,Hickory Group,Approved,,Trade Account,G11,92915.83,PO-2026-2171,1029089.14,CTR-CC-MEL-02-02,Matched
90,2,CC-MEL-02,2027-04-02,Plant Hire,83651.75,SAP-5003,GL-6300,Kennards Hire,Approved,,Trade Account,G11,8365.18,,0.0,,No PO
91,2,CC-MEL-02,2026-05-07,Subcontractor,1111042.78,SAP-5001,GL-6100,Probuild Constructions,Paid,Possible cost allocation mismatch — verify WBS element,Trade Account,G11,111104.28,PO-2026-2197,1147183.74,CTR-CC-MEL-02-02,Matched
92,2,CC-MEL-02,2027-04-12,Materials,249476.35,SAP-5002,GL-6200,Holcim Australia Pty Ltd,Paid,,Manual Entry,G11,24947.64,PO-2026-2210,271408.2,CTR-CC-MEL-02-02,Matched
93,2,CC-MEL-02,2027-02-14,Materials,610320.4,SAP-5002,GL-6200,Adbri Masonry,Approved,,Trade Account,G11,61032.04,PO-2026-2223,695912.6,CTR-CC-MEL-02-02,Matched
94,2,CC-MEL-02,2026-12-16,Subcontractor,200000.0,SAP-5001,GL-6100,Hickory Group,Paid,,Trade Account,G11,20000.0,PO-2026-2236,180979.1,CTR-CC-MEL-02-02,Over PO
95,2,CC-MEL-02,2027-01-18,Subcontractor,361518.62,SAP-5001,GL-6100,Built Environs,Approved,,Trade Account,G11,36151.86,PO-2026-2249,415405.12,CTR-CC-MEL-02-02,Matched
96,2,CC-MEL-02,2027-05-01,Plant Hire,68426.74,SAP-5003,GL-6300,Tutt Bryant Equipment,Pending,,Trade Account,G11,6842.67,PO-2026-2262,70323.7,,Matched
97,2,CC-MEL-02,2026-03-31,Materials,301536.0,SAP-5002,GL-6200,Hanson Construction Materials,Approved,,Trade Account,G11,30153.6,PO-2026-2275,247525.81,CTR-CC-MEL-02-02,Over PO
98,2,CC-MEL-02,2027-01-31,Subcontractor,498771.91,SAP-5001,GL-6100,Buxton Construction,Approved,,Trade Account,G11,49877.19,,0.0,,No PO
99,2,CC-MEL-02,2026-05-31,Materials,207788.71,SAP-5002,GL-6200,James Hardie Building Products,Pending,,Trade Account,G11,20778.87,PO-2026-2301,231689.45,CTR-CC-MEL-02-02,Matched
100,2,CC-MEL-02,2026-04-24,Materials,497066.99,SAP-5002,GL-6200,Holcim Australia Pty Ltd,Approved,,Trade Account,G11,49706.7,PO-2026-2314,517960.29,CTR-CC-MEL-02-02,Matched
101,2,CC-MEL-02,2026-07-04,Materials,251784.08,SAP-5002,GL-6200,CSR Building Products,Approved,Vendor invoice pending project manager approval,Trade Account,G11,25178.41,PO-2026-2327,226974.38,CTR-CC-MEL-02-02,Over PO
102,2,CC-MEL-02,2026-12-30,Materials,421296.45,SAP-5002,GL-6200,Saint-Gobain Placo,Paid,,Trade Account,G11,42129.65,,0.0,,No PO
103,2,CC-MEL-02,2027-05-11,Materials,523961.7,SAP-5002,GL-6200,CSR Building Products,Approved,,Trade Account,G11,52396.17,PO-2026-2353,651987.62,CTR-CC-MEL-02-02,Matched
104,2,CC-MEL-02,2026-03-17,Subcontractor,889518.73,SAP-5001,GL-6100,Cockram Constructions,Pending,,Trade Account,G11,88951.87,PO-2026-2366,995288.96,CTR-CC-MEL-02-02,Matched
105,2,CC-MEL-02,2026-07-29,Subcontractor,464890.15,SAP-5001,GL-6100,Hacer Group,Approved,,Manual Entry,G11,46489.02,PO-2026-2379,535763.28,CTR-CC-MEL-02-02,Matched
106,2,CC-MEL-02,2027-01-11,Subcontractor,628378.86,SAP-5001,GL-6100,Hacer Group,Approved,Retention clause applies — partial payment released,Trade Account,G11,62837.89,PO-2026-2392,762155.42,CTR-CC-MEL-02-02,Matched
107,2,CC-MEL-02,2027-03-11,Subcontractor,989180.54,SAP-5001,GL-6100,Probuild Constructions,Approved,,Trade Account,G11,98918.05,PO-2026-2405,1148313.29,CTR-CC-MEL-02-02,Matched
108,2,CC-MEL-02,2026-12-16,Subcontractor,200000.0,SAP-5001,GL-6100,Buxton Construction,Approved,,Manual Entry,G11,20000.0,PO-2026-2418,211327.15,CTR-CC-MEL-02-02,Matched
109,2,CC-MEL-02,2026-03-13,Materials,754477.57,SAP-5002,GL-6200,Sika Australia,Paid,,Trade Account,G11,75447.76,PO-2026-2431,783572.63,CTR-CC-MEL-02-02,Matched
110,2,CC-MEL-02,2026-10-04,Plant Hire,228687.02,SAP-5003,GL-6300,Coates Hire Operations,On Hold,,Site System,G11,22868.7,PO-2026-2444,242065.38,,Matched
111,2,CC-MEL-02,2027-04-30,Permits & Compliance,33525.95,SAP-5005,GL-6500,City of Melbourne Council,Pending,,Site System,G12,0.0,PO-2026-2457,41624.71,,Matched
112,2,CC-MEL-02,2026-05-19,Professional Services,231014.29,SAP-5004,GL-6400,AECOM Australia Pty Ltd,Paid,,Concur Export,G11,23101.43,,0.0,,No PO
113,2,CC-MEL-02,2027-05-10,Subcontractor,808118.34,SAP-5001,GL-6100,Buxton Construction,Paid,,Trade Account,G11,80811.83,PO-2026-2483,883669.62,CTR-CC-MEL-02-02,Matched
114,2,CC-MEL-02,2027-01-12,Subcontractor,1641547.65,SAP-5001,GL-6100,Hacer Group,Paid,High variance to approved payment schedule,Trade Account,G11,164154.77,PO-2026-2496,1982624.52,CTR-CC-MEL-02-02,Matched
115,2,CC-MEL-02,2027-04-12,Permits & Compliance,18589.12,SAP-5005,GL-6500,Vic Department of Transport,Approved,,Site System,G12,0.0,,0.0,,No PO
116,2,CC-MEL-02,2026-10-08,Subcontractor,361083.73,SAP-5001,GL-6100,Kapitol Group,Paid,,Trade Account,G11,36108.37,PO-2026-2522,412598.08,CTR-CC-MEL-02-02,Matched
117,2,CC-MEL-02,2026-02-23,Materials,441361.42,SAP-5002,GL-6200,CSR Building Products,Approved,,Trade Account,G11,44136.14,PO-2026-2535,469349.28,CTR-CC-MEL-02-02,Matched
118,2,CC-MEL-02,2027-01-09,Subcontractor,1102868.0,SAP-5001,GL-6100,Watpac Civil & Mining,Approved,,Trade Account,G11,110286.8,PO-2026-2548,1331818.89,CTR-CC-MEL-02-02,Matched
119,2,CC-MEL-02,2027-05-17,Materials,433222.08,SAP-5002,GL-6200,BlueScope Distribution,Approved,,Site System,G11,43322.21,PO-2026-2561,467402.85,CTR-CC-MEL-02-02,Matched
120,2,CC-MEL-02,2027-02-03,Materials,161022.7,SAP-5002,GL-6200,Boral Construction Materials,Paid,Retention clause applies — partial payment released,Trade Account,G11,16102.27,PO-2026-2574,135079.22,CTR-CC-MEL-02-02,Over PO
121,3,CC-MEL-03,2027-08-23,Subcontractor,1071012.07,SAP-5001,GL-6100,Probuild Constructions,Approved,Mismatch between SAP cost code and VO reference,Trade Account,G11,107101.21,PO-2026-2594,1291196.43,CTR-CC-MEL-03-03,Matched
122,3,CC-MEL-03,2027-05-20,Subcontractor,856322.38,SAP-5001,GL-6100,Hickory Group,Approved,,Trade Account,G11,85632.24,PO-2026-2607,1051479.8,CTR-CC-MEL-03-03,Matched
123,3,CC-MEL-03,2027-03-17,Materials,632182.43,SAP-5002,GL-6200,Boral Construction Materials,Pending,,Trade Account,G11,63218.24,,0.0,,No PO
